,RAh,RAm,RAs,DECsign,DECd,DECm,DECs,Catalog,Type,RA/deg,DEC/deg
8725,14.0,9.0,56.98799999999892,-,1.0,21.0,4.7160000000000935,LRG,FRI,212.48745,-1.35131
8726,14.0,9.0,58.46400000000699,-,1.0,9.0,14.112000000000153,LRG,FRII,212.4936,-1.15392
8727,14.0,9.0,59.90399999999724,+,1.0,14.0,49.99199999999998,LRG,COMPACT,212.4996,1.24722
8728,14.0,10.0,4.656000000009186,+,2.0,3.0,7.091999999999459,LRG,COMPACT,212.5194,2.05197
8729,14.0,10.0,19.200000000008544,-,1.0,8.0,3.08400000000006,LRG,COMPACT,212.58,-1.13419
8730,14.0,10.0,25.86000000000581,-,0.0,41.0,51.50400000000019,LRG,COMPACT,212.60775,-0.69764
8731,14.0,11.0,4.344000000006929,-,3.0,0.0,43.308000000000746,LRG,FRI,212.7681,-3.01203
8732,14.0,11.0,7.836000000009022,+,0.0,36.0,7.812000000000125,LRG,COMPACT,212.78265,0.60217
8733,14.0,11.0,8.3039999999977,+,1.0,24.0,41.11199999999968,LRG,FRII,212.78459999999995,1.41142
8734,14.0,11.0,10.28399999999948,-,0.0,35.0,59.099999999999966,LRG,FRII,212.79285,-0.59975
8736,14.0,11.0,23.53200000000953,+,0.0,42.0,40.1039999999999,LRG,FRII,212.84805,0.7111399999999999
8737,14.0,11.0,35.30399999999872,-,3.0,20.0,19.607999999999493,LRG,FRII,212.8971,-3.33878
8739,14.0,12.0,2.3400000000047783,+,2.0,54.0,39.60000000000022,LRG,COMPACT,213.00975,2.911
8740,14.0,12.0,5.256000000009493,-,3.0,19.0,29.09999999999954,LRG,FRII,213.0219,-3.3247499999999994
8743,14.0,12.0,46.223999999999705,+,2.0,29.0,26.196000000000765,LRG,FRII,213.1926,2.49061
8744,14.0,12.0,47.44800000000453,+,4.0,54.0,31.5000000000012,LRG,FRII,213.1977,4.90875
8745,14.0,12.0,51.55200000000903,-,2.0,8.0,34.51200000000057,LRG,COMPACT,213.21480000000005,-2.14292
8746,14.0,12.0,51.984000000005466,-,0.0,45.0,7.703999999999951,LRG,FRII,213.2166,-0.75214
8748,14.0,13.0,14.95199999999926,-,0.0,22.0,56.60400000000003,LRG,FRII,213.3123,-0.38239
8749,14.0,13.0,26.43600000000575,-,1.0,46.0,46.70400000000029,LRG,FRII,213.36015,-1.77964
8750,14.0,13.0,27.372000000008683,+,2.0,37.0,28.81200000000021,LRG,FRII,213.36405,2.62467
8751,14.0,13.0,29.352000000004068,-,2.0,9.0,30.995999999999704,LRG,COMPACT,213.3723,-2.15861
8752,14.0,13.0,38.85600000000238,-,2.0,33.0,15.084000000000657,LRG,FRII,213.4119,-2.55419
8753,14.0,13.0,41.95200000000668,+,1.0,11.0,26.592000000000056,LRG,COMPACT,213.4248,1.19072
8754,14.0,13.0,48.32400000000845,-,5.0,59.0,54.20399999999859,LRG,FRII,213.45135,-5.99839
8755,14.0,13.0,52.17600000000331,+,1.0,42.0,41.003999999999934,LRG,FRII,213.4674,1.71139
8756,14.0,14.0,9.38399999999774,+,1.0,49.0,10.811999999999529,LRG,FRII,213.5391,1.81967
8757,14.0,14.0,23.0279999999992,-,0.0,1.0,37.992,LRG,FRII,213.59595,-0.02722
8759,14.0,14.0,35.80800000000778,+,2.0,56.0,18.311999999999102,LRG,FRII,213.6492,2.93842
8763,14.0,15.0,10.007999999998418,+,0.0,36.0,21.31200000000021,LRG,FRII,213.7917,0.60592
8765,14.0,15.0,27.21600000000564,+,17.0,24.0,31.103999999994016,LRG,FRII,213.8634,17.40864
8766,14.0,15.0,28.72799999999956,+,1.0,5.0,54.20399999999992,LRG,FRI,213.8697,1.09839
